Nama Lokasi,Hari,Jam Login,Nama,Jenis Kelamin,Email,No Telp,Provider Seluler,Tahun Lahir,Merek HP,Digital Interest,Location Type,Durasi
Restoran Permata Jaguar,Jumat,10:14:41,Bayu Bayu Nabilah,Perempuan,Bayu_Bayu_Nabilah@gmail.com,085401225963,Smartfren,1992,Xiaomi,Social Connection,Restoran,00:31:32
RS Rotello Gemilang,Selasa,07:03:52,Bayu Bayu Putri,Laki-laki,Bayu_Bayu_Putri@gmail.com,082504295551,3,2004,Iphone,Sosial Media,Rumah Sakit,01:01:17
Mall Tjantik Rainbow,Kamis,19:02:13,Bayu Bayu Lia,Perempuan,Bayu_Bayu_Lia@gmail.com,084910430331,Indosat,1990,Vivo,Social Connection,Mall,00:44:33
Kafe Sky Rainbow,Senin,12:39:25,Bayu Bayu Sari,Laki-laki,Bayu_Bayu_Sari@gmail.com,085120947196,3,1973,Iphone,Social Connection,Kafe,02:01:37
RS Pesona Domo,Jumat,17:35:44,Bayu Bayu Siti,Perempuan,Bayu_Bayu_Siti@gmail.com,084780716738,Telkomsel,1986,Realme,Game,Rumah Sakit,01:23:41
RS Rotello Rainbow,Jumat,17:34:06,Bayu Bayu Fitri,Laki-laki,Bayu_Bayu_Fitri@gmail.com,087760611781,3,1971,Samsung,Game,Rumah Sakit,01:51:49
Kafe Tjantik Gudetama,Selasa,09:31:45,Bayu Fajar Bayu,Laki-laki,Bayu_Fajar_Bayu@gmail.com,085748805276,Indosat,1990,Samsung,Game,Kafe,00:30:36
Mall Specta Tjantik,Kamis,14:32:09,Bayu Fajar Fajar,Laki-laki,Bayu_Fajar_Fajar@gmail.com,082754473967,XL,1993,Lenovo,Hiburan,Mall,02:47:00
RS Specta Pesona,Minggu,08:14:52,Bayu Fajar Ilham,Perempuan,Bayu_Fajar_Ilham@gmail.com,083681670686,Smartfren,1998,Oppo,Hiburan,Rumah Sakit,01:09:57
Restoran Tjantik Rotello,Jumat,14:36:27,Bayu Fajar Wahyu,Laki-laki,Bayu_Fajar_Wahyu@gmail.com,087986104756,3,1985,Realme,Hiburan,Restoran,01:34:05
Mall Gemilang Rainbow,Minggu,08:43:40,Bayu Fajar Rizki,Laki-laki,Bayu_Fajar_Rizki@gmail.com,084585702459,Indosat,1999,Huawei,Work Stuff,Mall,01:37:10
Mall Tjantik Domo,Rabu,13:10:03,Bayu Fajar Naufal,Perempuan,Bayu_Fajar_Naufal@gmail.com,084851864679,Telkomsel,1980,Infinix,Social Connection,Mall,00:32:57
Mall Sky Gemilang,Minggu,07:42:10,Bayu Fajar Tono,Laki-laki,Bayu_Fajar_Tono@gmail.com,085922157802,Indosat,1989,Samsung,Social Connection,Mall,01:34:23
Restoran Star Specta,Jumat,16:47:26,Bayu Fajar Bagus,Perempuan,Bayu_Fajar_Bagus@gmail.com,085059495467,Telkomsel,1991,Xiaomi,Work Stuff,Restoran,02:11:51
Kafe Star Rainbow,Rabu,13:33:11,Bayu Fajar Asep,Perempuan,Bayu_Fajar_Asep@gmail.com,085321941318,Indosat,1990,Lenovo,Hiburan,Kafe,00:22:59
Restoran Domo Tjantik,Senin,18:37:00,Bayu Fajar Kartika,Perempuan,Bayu_Fajar_Kartika@gmail.com,087299989433,XL,1971,Lenovo,Sosial Media,Restoran,02:31:22
Restoran Pesona Star,Sabtu,12:40:18,Bayu Fajar Ayu,Laki-laki,Bayu_Fajar_Ayu@gmail.com,088858475826,Indosat,1974,Samsung,Work Stuff,Restoran,02:24:48
Halte Tjantik Jaguar,Jumat,07:03:50,Bayu Fajar Alma,Laki-laki,Bayu_Fajar_Alma@gmail.com,085084057826,3,1977,Vivo,Sosial Media,Halte,00:29:53
Restoran Rotello Jaguar,Senin,19:11:47,Bayu Fajar Nabilah,Perempuan,Bayu_Fajar_Nabilah@gmail.com,082200694316,Telkomsel,2002,Vivo,Work Stuff,Restoran,00:45:10
Halte Star Sunshine,Jumat,15:30:27,Bayu Fajar Putri,Laki-laki,Bayu_Fajar_Putri@gmail.com,087519014259,Smartfren,1996,Realme,Work Stuff,Halte,01:17:29
Restoran Pesona Rainbow,Kamis,20:56:30,Bayu Fajar Lia,Perempuan,Bayu_Fajar_Lia@gmail.com,089153188543,Smartfren,1977,Huawei,Game,Restoran,00:35:22
Mall Gudetama Sunshine,Rabu,14:36:55,Bayu Fajar Sari,Perempuan,Bayu_Fajar_Sari@gmail.com,082184084511,Indosat,1979,Realme,Work Stuff,Mall,02:57:07
Mall Gemilang Specta,Selasa,17:10:38,Bayu Fajar Siti,Laki-laki,Bayu_Fajar_Siti@gmail.com,084454922527,Telkomsel,1972,Infinix,Work Stuff,Mall,00:52:35
RS Jaguar Gemilang,Rabu,14:33:00,Bayu Fajar Fitri,Laki-laki,Bayu_Fajar_Fitri@gmail.com,087848424617,Telkomsel,2003,Xiaomi,Social Connection,Rumah Sakit,00:29:43
RS Tjantik Permata,Sabtu,13:20:30,Bayu Ilham Bayu,Perempuan,Bayu_Ilham_Bayu@gmail.com,086202256622,Smartfren,1989,Iphone,Hiburan,Rumah Sakit,00:05:08
Halte Larry Permata,Minggu,19:42:26,Bayu Ilham Fajar,Laki-laki,Bayu_Ilham_Fajar@gmail.com,086328271827,Telkomsel,1987,ASUS,Game,Halte,00:59:05
Kafe Sky Sky,Rabu,11:46:43,Bayu Ilham Ilham,Perempuan,Bayu_Ilham_Ilham@gmail.com,086768412337,Smartfren,1997,Iphone,Hiburan,Kafe,02:43:35
RS Sunshine Specta,Rabu,14:53:04,Bayu Ilham Wahyu,Perempuan,Bayu_Ilham_Wahyu@gmail.com,086030787628,3,1989,Oppo,Work Stuff,Rumah Sakit,00:16:56
Kafe Rainbow Sky,Kamis,09:56:14,Bayu Ilham Rizki,Laki-laki,Bayu_Ilham_Rizki@gmail.com,088626572963,3,1989,Realme,Work Stuff,Kafe,01:04:37
Mall Specta Star,Jumat,09:45:07,Bayu Ilham Naufal,Laki-laki,Bayu_Ilham_Naufal@gmail.com,084984457408,Indosat,1972,Huawei,Work Stuff,Mall,00:41:23
Halte Larry Tjantik,Selasa,19:08:14,Bayu Ilham Tono,Laki-laki,Bayu_Ilham_Tono@gmail.com,081234823271,Indosat,1986,Realme,Game,Halte,00:38:00
Kafe Jaguar Gemilang,Senin,10:42:10,Bayu Ilham Bagus,Perempuan,Bayu_Ilham_Bagus@gmail.com,081675007000,Telkomsel,2001,Lenovo,Social Connection,Kafe,00:56:54
Mall Sky Pesona,Selasa,15:16:06,Bayu Ilham Asep,Laki-laki,Bayu_Ilham_Asep@gmail.com,087448834749,Smartfren,1989,ASUS,Game,Mall,01:50:33
Kafe Domo Rainbow,Minggu,08:29:53,Bayu Ilham Kartika,Perempuan,Bayu_Ilham_Kartika@gmail.com,087597348443,3,1976,Vivo,Game,Kafe,02:57:29
Halte Tjantik Gudetama,Kamis,16:04:31,Bayu Ilham Ayu,Perempuan,Bayu_Ilham_Ayu@gmail.com,087386748242,Indosat,1974,Xiaomi,Game,Halte,01:35:13
RS Rainbow Larry,Minggu,18:05:51,Bayu Ilham Alma,Perempuan,Bayu_Ilham_Alma@gmail.com,089300802483,Telkomsel,1976,ASUS,Sosial Media,Rumah Sakit,02:42:05
Halte Gemilang Larry,Senin,09:01:36,Bayu Ilham Nabilah,Perempuan,Bayu_Ilham_Nabilah@gmail.com,083903218206,XL,1991,Lenovo,Hiburan,Halte,01:13:45
RS Permata Permata,Jumat,12:13:19,Bayu Ilham Putri,Perempuan,Bayu_Ilham_Putri@gmail.com,089537257738,Telkomsel,1991,Huawei,Hiburan,Rumah Sakit,02:17:26
Restoran Rainbow Jaguar,Selasa,14:19:32,Bayu Ilham Lia,Laki-laki,Bayu_Ilham_Lia@gmail.com,086348456490,XL,1993,Huawei,Hiburan,Restoran,02:42:48
Restoran Sky Permata,Selasa,07:44:38,Bayu Ilham Sari,Laki-laki,Bayu_Ilham_Sari@gmail.com,084444185217,Smartfren,1990,Oppo,Work Stuff,Restoran,01:30:16
RS Permata Gemilang,Kamis,09:55:42,Bayu Ilham Siti,Laki-laki,Bayu_Ilham_Siti@gmail.com,089360653397,Telkomsel,1986,Huawei,Sosial Media,Rumah Sakit,02:45:28
Restoran Star Domo,Senin,21:54:06,Bayu Ilham Fitri,Laki-laki,Bayu_Ilham_Fitri@gmail.com,086129200969,Smartfren,2002,Iphone,Social Connection,Restoran,02:58:21
RS Rotello Jaguar,Selasa,07:03:19,Bayu Wahyu Bayu,Laki-laki,Bayu_Wahyu_Bayu@gmail.com,085111285445,Telkomsel,1979,Infinix,Hiburan,Rumah Sakit,01:39:03
RS Sky Gudetama,Kamis,13:58:54,Bayu Wahyu Fajar,Laki-laki,Bayu_Wahyu_Fajar@gmail.com,089203949770,Indosat,1971,ASUS,Work Stuff,Rumah Sakit,02:10:03
RS Rotello Sunshine,Jumat,09:34:53,Bayu Wahyu Ilham,Perempuan,Bayu_Wahyu_Ilham@gmail.com,087127513380,XL,1983,Oppo,Social Connection,Rumah Sakit,02:04:03
Halte Permata Jaguar,Senin,20:20:18,Bayu Wahyu Wahyu,Perempuan,Bayu_Wahyu_Wahyu@gmail.com,089277489847,XL,1992,Realme,Work Stuff,Halte,00:33:46
Mall Gudetama Rainbow,Minggu,10:52:44,Bayu Wahyu Rizki,Laki-laki,Bayu_Wahyu_Rizki@gmail.com,084926159095,XL,1970,Realme,Hiburan,Mall,02:22:22
Kafe Pesona Pesona,Kamis,08:20:10,Bayu Wahyu Naufal,Perempuan,Bayu_Wahyu_Naufal@gmail.com,084276713005,Indosat,1994,Xiaomi,Work Stuff,Kafe,00:18:52
Mall Sunshine Sky,Kamis,08:39:34,Bayu Wahyu Tono,Laki-laki,Bayu_Wahyu_Tono@gmail.com,081770408839,Indosat,1983,Vivo,Sosial Media,Mall,00:32:53
Mall Star Jaguar,Jumat,17:39:56,Bayu Wahyu Bagus,Laki-laki,Bayu_Wahyu_Bagus@gmail.com,086849173457,3,1995,Infinix,Social Connection,Mall,02:31:27
Restoran Gemilang Sunshine,Kamis,08:29:01,Bayu Wahyu Asep,Perempuan,Bayu_Wahyu_Asep@gmail.com,083647733015,3,1986,Xiaomi,Game,Restoran,01:47:23
Kafe Domo Star,Minggu,18:00:12,Bayu Wahyu Kartika,Laki-laki,Bayu_Wahyu_Kartika@gmail.com,085416322645,3,1985,ASUS,Sosial Media,Kafe,01:12:03
RS Tjantik Sky,Jumat,18:14:53,Bayu Wahyu Ayu,Laki-laki,Bayu_Wahyu_Ayu@gmail.com,088076907606,3,1974,Lenovo,Game,Rumah Sakit,01:26:06
Kafe Larry Permata,Sabtu,15:44:10,Bayu Wahyu Alma,Perempuan,Bayu_Wahyu_Alma@gmail.com,089688070441,3,1981,Huawei,Work Stuff,Kafe,00:17:39
RS Rainbow Sunshine,Selasa,08:38:16,Bayu Wahyu Nabilah,Perempuan,Bayu_Wahyu_Nabilah@gmail.com,081501255257,Smartfren,1999,Xiaomi,Social Connection,Rumah Sakit,02:10:33
RS Jaguar Larry,Selasa,09:05:57,Bayu Wahyu Putri,Laki-laki,Bayu_Wahyu_Putri@gmail.com,083548482301,Telkomsel,1981,ASUS,Hiburan,Rumah Sakit,01:46:49
Restoran Jaguar Sky,Senin,12:40:27,Bayu Wahyu Lia,Perempuan,Bayu_Wahyu_Lia@gmail.com,082329805492,3,1970,Huawei,Sosial Media,Restoran,01:29:58
Kafe Larry Sunshine,Sabtu,18:23:48,Bayu Wahyu Sari,Perempuan,Bayu_Wahyu_Sari@gmail.com,082081629105,Smartfren,1988,Vivo,Game,Kafe,01:46:09
Mall Sunshine Jaguar,Senin,16:32:08,Bayu Wahyu Siti,Laki-laki,Bayu_Wahyu_Siti@gmail.com,082975534194,Telkomsel,1999,Iphone,Sosial Media,Mall,00:27:24
Kafe Pesona Gemilang,Jumat,12:10:34,Bayu Wahyu Fitri,Laki-laki,Bayu_Wahyu_Fitri@gmail.com,084077356422,Telkomsel,2005,Lenovo,Game,Kafe,02:41:29
Mall Specta Pesona,Minggu,13:18:07,Bayu Rizki Bayu,Perempuan,Bayu_Rizki_Bayu@gmail.com,089761814129,Telkomsel,1993,Infinix,Work Stuff,Mall,02:50:14
RS Gudetama Sky,Rabu,21:47:55,Bayu Rizki Fajar,Laki-laki,Bayu_Rizki_Fajar@gmail.com,089609158723,Smartfren,2001,Xiaomi,Social Connection,Rumah Sakit,01:08:22
RS Larry Larry,Rabu,18:00:10,Bayu Rizki Ilham,Perempuan,Bayu_Rizki_Ilham@gmail.com,085620992504,3,1992,Xiaomi,Game,Rumah Sakit,00:56:15
RS Jaguar Sky,Jumat,10:57:31,Bayu Rizki Wahyu,Perempuan,Bayu_Rizki_Wahyu@gmail.com,085313517138,XL,1971,ASUS,Game,Rumah Sakit,00:06:56
Kafe Specta Permata,Minggu,17:15:20,Bayu Rizki Rizki,Perempuan,Bayu_Rizki_Rizki@gmail.com,083530167311,XL,2000,Vivo,Social Connection,Kafe,02:20:02
Kafe Permata Jaguar,Kamis,21:00:54,Bayu Rizki Naufal,Laki-laki,Bayu_Rizki_Naufal@gmail.com,086378318204,XL,1991,Oppo,Sosial Media,Kafe,00:35:22
Restoran Jaguar Permata,Jumat,14:20:12,Bayu Rizki Tono,Laki-laki,Bayu_Rizki_Tono@gmail.com,082385158558,XL,1981,ASUS,Social Connection,Restoran,01:56:00
Kafe Jaguar Sunshine,Minggu,10:47:03,Bayu Rizki Bagus,Perempuan,Bayu_Rizki_Bagus@gmail.com,087204592474,XL,1988,Samsung,Sosial Media,Kafe,01:02:06
Restoran Pesona Pesona,Jumat,08:16:16,Bayu Rizki Asep,Laki-laki,Bayu_Rizki_Asep@gmail.com,089219695904,3,1986,Lenovo,Hiburan,Restoran,01:10:46
RS Specta Pesona,Sabtu,09:17:10,Bayu Rizki Kartika,Perempuan,Bayu_Rizki_Kartika@gmail.com,089688126699,Smartfren,1996,ASUS,Game,Rumah Sakit,02:27:40
Kafe Specta Sunshine,Senin,19:45:28,Bayu Rizki Ayu,Perempuan,Bayu_Rizki_Ayu@gmail.com,089127923917,Telkomsel,2001,ASUS,Social Connection,Kafe,01:00:45
Mall Gudetama Permata,Minggu,15:27:29,Bayu Rizki Alma,Laki-laki,Bayu_Rizki_Alma@gmail.com,085296910736,XL,1985,Oppo,Social Connection,Mall,01:46:13
Halte Rotello Gudetama,Senin,10:26:36,Bayu Rizki Nabilah,Perempuan,Bayu_Rizki_Nabilah@gmail.com,083118763584,Smartfren,1982,Oppo,Social Connection,Halte,02:09:30
Kafe Gudetama Jaguar,Minggu,18:31:51,Bayu Rizki Putri,Perempuan,Bayu_Rizki_Putri@gmail.com,081789683793,Indosat,1995,Huawei,Sosial Media,Kafe,01:50:30
Mall Rotello Sky,Kamis,15:12:17,Bayu Rizki Lia,Laki-laki,Bayu_Rizki_Lia@gmail.com,083015079111,3,1976,Huawei,Social Connection,Mall,00:34:57
Halte Sky Star,Minggu,13:15:03,Bayu Rizki Sari,Perempuan,Bayu_Rizki_Sari@gmail.com,081566612741,3,1986,ASUS,Work Stuff,Halte,00:56:05
RS Domo Specta,Kamis,14:55:52,Bayu Rizki Siti,Perempuan,Bayu_Rizki_Siti@gmail.com,083833310972,3,1977,Xiaomi,Social Connection,Rumah Sakit,00:56:37
Kafe Gemilang Domo,Selasa,13:52:38,Bayu Rizki Fitri,Perempuan,Bayu_Rizki_Fitri@gmail.com,083770052114,3,1978,Iphone,Social Connection,Kafe,02:14:24
Mall Sunshine Permata,Jumat,13:18:10,Bayu Naufal Bayu,Laki-laki,Bayu_Naufal_Bayu@gmail.com,081795570673,Indosat,1998,Vivo,Hiburan,Mall,01:46:07
Halte Rotello Domo,Senin,18:44:14,Bayu Naufal Fajar,Perempuan,Bayu_Naufal_Fajar@gmail.com,089286060130,Indosat,2001,Huawei,Social Connection,Halte,00:59:01
Halte Rotello Domo,Selasa,09:19:37,Bayu Naufal Ilham,Perempuan,Bayu_Naufal_Ilham@gmail.com,087639840059,XL,2001,ASUS,Hiburan,Halte,02:39:00
Restoran Pesona Sky,Rabu,10:14:12,Bayu Naufal Wahyu,Laki-laki,Bayu_Naufal_Wahyu@gmail.com,088393225818,Indosat,1980,Realme,Work Stuff,Restoran,00:35:02
Restoran Gemilang Tjantik,Minggu,09:48:57,Bayu Naufal Rizki,Laki-laki,Bayu_Naufal_Rizki@gmail.com,082944244700,Telkomsel,1979,Samsung,Hiburan,Restoran,02:34:02
Kafe Gudetama Permata,Sabtu,07:14:29,Bayu Naufal Naufal,Laki-laki,Bayu_Naufal_Naufal@gmail.com,083188004959,XL,1975,Realme,Social Connection,Kafe,02:29:12
Restoran Permata Pesona,Minggu,16:54:16,Bayu Naufal Tono,Laki-laki,Bayu_Naufal_Tono@gmail.com,086468844731,Smartfren,1982,Xiaomi,Social Connection,Restoran,01:35:17
Restoran Rotello Jaguar,Senin,19:05:35,Bayu Naufal Bagus,Perempuan,Bayu_Naufal_Bagus@gmail.com,084770834221,Smartfren,1988,Huawei,Hiburan,Restoran,02:10:24
Halte Gemilang Gudetama,Sabtu,15:15:24,Bayu Naufal Asep,Laki-laki,Bayu_Naufal_Asep@gmail.com,086001367870,3,1996,Oppo,Hiburan,Halte,00:37:13
Halte Sunshine Specta,Rabu,13:18:04,Bayu Naufal Kartika,Perempuan,Bayu_Naufal_Kartika@gmail.com,082884710698,XL,1992,Vivo,Game,Halte,02:07:49
Kafe Sunshine Pesona,Sabtu,14:45:20,Bayu Naufal Ayu,Perempuan,Bayu_Naufal_Ayu@gmail.com,083839292426,XL,1993,ASUS,Work Stuff,Kafe,02:13:26
Kafe Tjantik Domo,Jumat,12:28:19,Bayu Naufal Alma,Laki-laki,Bayu_Naufal_Alma@gmail.com,088981912905,XL,1994,Iphone,Work Stuff,Kafe,01:06:32
Halte Pesona Specta,Selasa,18:59:24,Bayu Naufal Nabilah,Laki-laki,Bayu_Naufal_Nabilah@gmail.com,086099324745,Telkomsel,1988,Iphone,Hiburan,Halte,02:46:22
Restoran Larry Larry,Kamis,12:06:38,Bayu Naufal Putri,Laki-laki,Bayu_Naufal_Putri@gmail.com,087701663242,Smartfren,1971,Infinix,Social Connection,Restoran,00:45:32
Kafe Permata Permata,Kamis,08:23:31,Bayu Naufal Lia,Laki-laki,Bayu_Naufal_Lia@gmail.com,081409499203,Smartfren,1994,Vivo,Game,Kafe,00:30:11
Kafe Domo Tjantik,Rabu,19:28:36,Bayu Naufal Sari,Perempuan,Bayu_Naufal_Sari@gmail.com,087475897840,XL,1983,Realme,Social Connection,Kafe,02:59:53
Kafe Rainbow Domo,Minggu,11:59:46,Bayu Naufal Siti,Laki-laki,Bayu_Naufal_Siti@gmail.com,086608736104,Smartfren,1996,Infinix,Game,Kafe,00:58:08
Mall Gemilang Specta,Sabtu,21:15:54,Bayu Naufal Fitri,Laki-laki,Bayu_Naufal_Fitri@gmail.com,083338078209,Smartfren,1976,Infinix,Game,Mall,02:00:15
Restoran Sky Jaguar,Minggu,16:04:33,Bayu Tono Bayu,Laki-laki,Bayu_Tono_Bayu@gmail.com,086353351559,XL,1994,ASUS,Hiburan,Restoran,01:38:29
Halte Domo Rainbow,Minggu,20:53:57,Bayu Tono Fajar,Laki-laki,Bayu_Tono_Fajar@gmail.com,084535299156,Indosat,1994,Vivo,Sosial Media,Halte,01:30:23
Restoran Star Sunshine,Minggu,21:20:17,Bayu Tono Ilham,Perempuan,Bayu_Tono_Ilham@gmail.com,086242829162,Indosat,1989,Samsung,Hiburan,Restoran,01:01:57
Halte Larry Rotello,Sabtu,18:50:53,Bayu Tono Wahyu,Perempuan,Bayu_Tono_Wahyu@gmail.com,081450816465,Smartfren,1980,Infinix,Hiburan,Halte,02:57:32
Mall Specta Domo,Jumat,12:13:00,Bayu Tono Rizki,Perempuan,Bayu_Tono_Rizki@gmail.com,081850535153,XL,1995,Huawei,Work Stuff,Mall,01:18:27
Kafe Gudetama Tjantik,Kamis,11:53:40,Bayu Tono Naufal,Laki-laki,Bayu_Tono_Naufal@gmail.com,086428939698,Telkomsel,1992,Huawei,Social Connection,Kafe,02:10:13
Halte Rainbow Sky,Jumat,08:13:39,Bayu Tono Tono,Perempuan,Bayu_Tono_Tono@gmail.com,084326026925,Smartfren,1973,Oppo,Hiburan,Halte,01:31:33
Mall Jaguar Pesona,Kamis,15:08:23,Bayu Tono Bagus,Laki-laki,Bayu_Tono_Bagus@gmail.com,089792266356,Indosat,1983,ASUS,Work Stuff,Mall,01:22:29
RS Domo Sunshine,Rabu,21:40:48,Bayu Tono Asep,Laki-laki,Bayu_Tono_Asep@gmail.com,085908534051,3,1975,Oppo,Social Connection,Rumah Sakit,01:08:59
Halte Sky Rotello,Senin,14:29:00,Bayu Tono Kartika,Perempuan,Bayu_Tono_Kartika@gmail.com,089754837385,Telkomsel,1990,Lenovo,Work Stuff,Halte,00:19:50
RS Sky Domo,Rabu,17:42:30,Bayu Tono Ayu,Perempuan,Bayu_Tono_Ayu@gmail.com,081753263619,3,1985,Samsung,Sosial Media,Rumah Sakit,02:31:42
Restoran Gemilang Domo,Selasa,18:20:25,Bayu Tono Alma,Laki-laki,Bayu_Tono_Alma@gmail.com,083253220213,Smartfren,1991,Xiaomi,Work Stuff,Restoran,01:22:33
Mall Domo Jaguar,Sabtu,10:24:07,Bayu Tono Nabilah,Perempuan,Bayu_Tono_Nabilah@gmail.com,085235685221,XL,1994,Lenovo,Work Stuff,Mall,00:16:00
Halte Rotello Domo,Minggu,17:00:47,Bayu Tono Putri,Laki-laki,Bayu_Tono_Putri@gmail.com,086914940834,Smartfren,1979,ASUS,Sosial Media,Halte,01:28:20
Mall Pesona Permata,Rabu,20:22:52,Bayu Tono Lia,Perempuan,Bayu_Tono_Lia@gmail.com,088601674347,XL,1978,Xiaomi,Sosial Media,Mall,02:09:20
Mall Star Sky,Senin,18:31:23,Bayu Tono Sari,Laki-laki,Bayu_Tono_Sari@gmail.com,089329801716,Telkomsel,1990,Xiaomi,Sosial Media,Mall,02:35:23
RS Specta Larry,Senin,07:17:37,Bayu Tono Siti,Laki-laki,Bayu_Tono_Siti@gmail.com,085822123317,Telkomsel,1992,Xiaomi,Social Connection,Rumah Sakit,02:47:22
RS Pesona Domo,Rabu,12:07:16,Bayu Tono Fitri,Laki-laki,Bayu_Tono_Fitri@gmail.com,084372210401,Indosat,2000,Samsung,Sosial Media,Rumah Sakit,00:17:34
Halte Larry Permata,Senin,07:30:55,Bayu Bagus Bayu,Laki-laki,Bayu_Bagus_Bayu@gmail.com,089619661364,Indosat,1973,Samsung,Work Stuff,Halte,02:36:32
Halte Gudetama Jaguar,Minggu,13:21:46,Bayu Bagus Fajar,Laki-laki,Bayu_Bagus_Fajar@gmail.com,088265849765,Telkomsel,2004,ASUS,Social Connection,Halte,00:19:06
Mall Sky Star,Jumat,14:45:34,Bayu Bagus Ilham,Perempuan,Bayu_Bagus_Ilham@gmail.com,084083901849,XL,1979,Realme,Social Connection,Mall,02:41:08
Mall Gudetama Permata,Sabtu,08:52:50,Bayu Bagus Wahyu,Laki-laki,Bayu_Bagus_Wahyu@gmail.com,082615832689,XL,1997,Xiaomi,Game,Mall,01:11:17
Halte Jaguar Jaguar,Senin,20:33:15,Bayu Bagus Rizki,Laki-laki,Bayu_Bagus_Rizki@gmail.com,084519976202,XL,2002,Xiaomi,Hiburan,Halte,01:35:41
Halte Sunshine Gudetama,Selasa,14:06:41,Bayu Bagus Naufal,Perempuan,Bayu_Bagus_Naufal@gmail.com,087836718373,Telkomsel,2003,Vivo,Social Connection,Halte,02:55:21
RS Gudetama Rotello,Jumat,20:59:40,Bayu Bagus Tono,Laki-laki,Bayu_Bagus_Tono@gmail.com,086242062924,Smartfren,2004,Lenovo,Social Connection,Rumah Sakit,00:52:11
Restoran Pesona Star,Rabu,10:38:52,Bayu Bagus Bagus,Laki-laki,Bayu_Bagus_Bagus@gmail.com,084452615183,Indosat,1973,Realme,Work Stuff,Restoran,02:30:18
Restoran Sunshine Domo,Jumat,08:40:55,Bayu Bagus Asep,Laki-laki,Bayu_Bagus_Asep@gmail.com,084115898651,Indosat,1987,Xiaomi,Hiburan,Restoran,00:15:24
Mall Gudetama Jaguar,Kamis,11:58:54,Bayu Bagus Kartika,Perempuan,Bayu_Bagus_Kartika@gmail.com,089423922206,Smartfren,1976,Huawei,Hiburan,Mall,01:45:07
Restoran Gudetama Specta,Senin,14:07:54,Bayu Bagus Ayu,Perempuan,Bayu_Bagus_Ayu@gmail.com,087162213806,XL,1980,Huawei,Work Stuff,Restoran,01:56:17
Halte Specta Sunshine,Selasa,12:23:17,Bayu Bagus Alma,Perempuan,Bayu_Bagus_Alma@gmail.com,082494008274,3,1991,Infinix,Work Stuff,Halte,00:26:53
RS Jaguar Gudetama,Selasa,21:03:57,Bayu Bagus Nabilah,Laki-laki,Bayu_Bagus_Nabilah@gmail.com,082287238894,XL,1989,Vivo,Hiburan,Rumah Sakit,01:49:26
Mall Larry Permata,Senin,07:41:12,Bayu Bagus Putri,Laki-laki,Bayu_Bagus_Putri@gmail.com,084850947076,Smartfren,1979,Vivo,Hiburan,Mall,01:04:30
Kafe Tjantik Specta,Jumat,17:05:46,Bayu Bagus Lia,Perempuan,Bayu_Bagus_Lia@gmail.com,086936516548,XL,2004,Samsung,Work Stuff,Kafe,02:17:23
