customer,jumlah_payment
"CATHY SPENCER",29
"CECIL VINES",26
"CHAD CARBONE",25
"CHARLENE ALVAREZ",27
"CHARLES KOWALSKI",32
"CHARLIE BESS",26
"CHARLOTTE HUNTER",24
"CHERYL MURPHY",27
"CHESTER BENNER",24
"CHRIS BROTHERS",22
"CHRISTIAN JUNG",24
"CHRISTINA RAMIREZ",18
"CHRISTINE ROBERTS",24
"CHRISTOPHER GRECO",31
"CHRISTY VARGAS",31
"CINDY FISHER",29
"CLARA SHAW",42
"CLARENCE GAMEZ",30
"CLAUDE HERZOG",25
"CLAUDIA FULLER",26
"CLAYTON BARBEE",26
"CLIFFORD BOWENS",29
"CLIFTON MALCOLM",28
"CLINTON BUFORD",25
"CLYDE TOBIAS",29
"CODY NOLEN",22
"COLLEEN BURTON",24
"CONNIE WALLACE",23
"CONSTANCE REID",25
"COREY HAUSER",22
"CORY MEEHAN",24
"COURTNEY DAY",32
"CRAIG MORRELL",30
"CRYSTAL FORD",33
"CURTIS IRBY",38
"CYNTHIA YOUNG",32
"DAISY BATES",38
"DALE RATCLIFF",27
"DAN PAINE",22
"DANA HART",29
"DANIEL CABRAL",20
"DANIELLE DANIELS",25
"DANNY ISOM",21
"DARLENE ROSE",31
"DARRELL POWER",25
"DARREN WINDHAM",24
"DARRYL ASHCRAFT",23
"DARYL LARUE",27
"DAVE GARDINER",32
"DAVID ROYAL",26
"DAWN SULLIVAN",26
"DEAN SAUER",27
"DEANNA BYRD",26
"DEBBIE REYES",32
"DEBORAH WALKER",29
"DEBRA NELSON",29
"DELORES HANSEN",21
"DENISE KELLY",27
"DENNIS GILMAN",28
"DEREK BLAKELY",28
"DERRICK BOURQUE",22
"DIANA ALEXANDER",27
"DIANE COLLINS",35
"DIANNE SHELTON",31
"DOLORES WAGNER",26
"DON BONE",25
"DONALD MAHON",23
"DONNA THOMPSON",21
"DORA MEDINA",23
"DORIS REED",22
"DOROTHY TAYLOR",25
"DOUGLAS GRAF",25
"DUANE TUBBS",31
"DUSTIN GILLETTE",26
"DWAYNE OLVERA",22
"DWIGHT LOMBARDI",17
"EARL SHANKS",27
"EDDIE TOMLIN",27
"EDGAR RHOADS",25
"EDITH MCDONALD",19
"EDNA WEST",26
"EDUARDO HIATT",27
"EDWARD BAUGH",28
"EDWIN BURK",23
"EILEEN CARR",18
"ELAINE STEVENS",24
"ELEANOR HUNT",46
"ELIZABETH BROWN",38
"ELLA OLIVER",31
"ELLEN SIMPSON",28
"ELMER NOE",26
"ELSIE KELLEY",37
"EMILY DIAZ",24
"EMMA BOYD",23
"ENRIQUE FORSYTHE",28
"ERIC ROBERT",27
"ERICA MATTHEWS",22
"ERIK GUILLEN",29
"ERIKA PENA",26
"ERIN DUNN",27
"ERNEST STEPP",25
"ESTHER CRAWFORD",28
"ETHEL WEBB",32
"EUGENE CULPEPPER",19
"EVA RAMOS",18
"EVELYN MORGAN",28
"EVERETT BANDA",28
"FELICIA SUTTON",28
"FELIX GAFFNEY",24
"FERNANDO CHURCHILL",25
"FLORENCE WOODS",30
"FLOYD GANDY",17
"FRANCES PARKER",22
"FRANCIS SIKES",26
"FRANCISCO SKIDMORE",22
"FRANK WAGGONER",32
"FRANKLIN TROUTMAN",22
"FRED WHEAT",25
"FREDDIE DUGGAN",25
"FREDERICK ISBELL",21
"GABRIEL HARDER",26
"GAIL KNIGHT",25
"GARY COY",25
"GENE SANBORN",27
"GEORGE LINTON",33
"GEORGIA JACOBS",26
"GERALD FULTZ",30
"GERALDINE PERKINS",30
"GERTRUDE CASTILLO",34
"GILBERT SLEDGE",28
"GINA WILLIAMSON",28
"GLADYS HAMILTON",31
"GLEN TALBERT",26
"GLENDA FRAZIER",32
"GLENN PULLEN",23
"GLORIA COOK",30
"GORDON ALLARD",32
"GRACE ELLIS",33
"GREG ROBINS",30
"GREGORY MAULDIN",23
"GUY BROWNLEE",32
"GWENDOLYN MAY",25
"HAROLD MARTINO",32
"HARRY ARCE",35
"HARVEY GUAJARDO",22
"HAZEL WARREN",34
"HEATHER MORRIS",30
"HECTOR POINDEXTER",26
"HEIDI LARSON",34
"HELEN HARRIS",32
"HENRY BILLINGSLEY",18
"HERBERT KRUGER",20
"HERMAN DEVORE",29
"HILDA HOPKINS",29
"HOLLY FOX",31
"HOWARD FORTNER",26
"HUGH WALDROP",21
"IAN STILL",27
"IDA ANDREWS",23
"IRENE PRICE",23
"IRMA PEARSON",18
"ISAAC OGLESBY",29
"IVAN CROMWELL",26
"JACK FOUST",24
"JACKIE LYNCH",25
"JACOB LANCE",21
"JACQUELINE LONG",33
"JAIME NETTLES",29
"JAMES GANNON",30
"JAMIE RICE",29
"JAMIE WAUGH",25
"JANE BENNETT",28
"JANET PHILLIPS",27
"JANICE WARD",34
"JARED ELY",19
"JASON MORRISSEY",28
"JAVIER ELROD",32
"JAY ROBB",26
"JEAN BELL",27
"JEANETTE GREENE",20
"JEANNE LAWSON",27
"JEFF EAST",30
"JEFFERY PINSON",31
"JEFFREY SPEAR",23
"JENNIE TERRY",29
"JENNIFER DAVIS",28
"JENNY CASTRO",27
"JEREMY HURTADO",28
"JEROME KENYON",16
"JERRY JORDON",29
"JESSE SCHILLING",26
"JESSICA HALL",34
"JESSIE BANKS",26
"JESSIE MILAM",33
"JESUS MCCARTNEY",24
"JILL HAWKINS",21
"JIM REA",33
"JIMMIE EGGLESTON",28
"JIMMY SCHRADER",29
"JO FOWLER",20
"JOAN COOPER",23
"JOANN GARDNER",16
"JOANNE ROBERTSON",34
"JOE GILLILAND",29
"JOEL FRANCISCO",23
"JOHN FARNSWORTH",31
"JOHNNIE CHISHOLM",24
"JOHNNY TURPIN",19
"JON WILES",24
"JONATHAN SCARBOROUGH",18
"JORDAN ARCHULETA",30
"JORGE OLIVARES",34
"JOSE ANDREW",25
"JOSEPH JOY",30
"JOSEPHINE GOMEZ",26
"JOSHUA MARK",30
"JOY GEORGE",33
"JOYCE EDWARDS",28
"JUAN FRALEY",23
"JUANITA MASON",30
"JUDITH COX",33
"JUDY GRAY",25
"JULIA FLORES",32
"JULIAN VEST",28
"JULIE SANCHEZ",29
"JULIO NOLAND",21
"JUNE CARROLL",37
"JUSTIN NGO",36
"KAREN JACKSON",27
"KARL SEAL",45
"KATHERINE RIVERA",14
"KATHLEEN ADAMS",27
"KATHRYN COLEMAN",26
"KATHY JAMES",30
"KATIE ELLIOTT",25
"KAY CALDWELL",20
"KEITH RICO",26
"KELLY KNOTT",26
"KELLY TORRES",22
"KEN PREWITT",29
"KENNETH GOODEN",17
"KENT ARSENAULT",27
"KEVIN SCHULER",22
"KIM CRUZ",21
"KIMBERLY LEE",25
"KIRK STCLAIR",19
"KRISTEN CHAVEZ",18
"KRISTIN JOHNSTON",31
"KRISTINA CHAMBERS",28
"KURT EMMONS",23
"KYLE SPURLOCK",30
"LANCE PEMBERTON",22
"LARRY THRASHER",26
"LAURA RODRIGUEZ",22
"LAUREN HUDSON",20
"LAURIE LAWRENCE",23
"LAWRENCE LAWTON",31
"LEAH CURTIS",25
"LEE HAWKS",27
"LENA JENSEN",33
"LEO EBERT",23
"LEON BOSTIC",25
"LEONA OBRIEN",14
"LEONARD SCHOFIELD",32
"LEROY BUSTAMANTE",32
"LESLIE GORDON",22
"LESLIE SEWARD",35
"LESTER KRAUS",16
"LEWIS LYMAN",19
"LILLIAN GRIFFIN",25
"LILLIE KIM",23
"LINDA WILLIAMS",26
"LISA ANDERSON",24
"LLOYD DOWD",19
"LOIS BUTLER",35
"LONNIE TIRADO",18
"LORETTA CARPENTER",22
"LORI WOOD",31
"LORRAINE STEPHENS",21
"LOUIS LEONE",35
"LOUISE JENKINS",25
"LUCILLE HOLMES",28
"LUCY WHEELER",26
"LUIS YANEZ",20
"LYDIA BURKE",24
"LYNN PAYNE",28
"MABEL HOLLAND",30
"MAE FLETCHER",31
"MANUEL MURRELL",30
"MARC OUTLAW",30
"MARCIA DEAN",42
"MARCUS HIDALGO",30
"MARGARET MOORE",23
"MARGIE WADE",36
"MARIA MILLER",33
"MARIAN MENDOZA",23
"MARIE TURNER",26
"MARILYN ROSS",30
"MARIO CHEATHAM",28
"MARION OCAMPO",29
"MARION SNYDER",39
"MARJORIE TUCKER",32
"MARK RINEHART",26
"MARLENE WELCH",26
"MARSHA DOUGLAS",37
"MARSHALL THORN",23
"MARTHA GONZALEZ",34
"MARTIN BALES",27
"MARVIN YEE",21
"MARY SMITH",32
"MATHEW BOLIN",22
"MATTHEW MAHAN",31
"MATTIE HOFFMAN",22
"MAUREEN LITTLE",21
"MAURICE CRAWLEY",29
"MAX PITT",24
"MAXINE SILVA",32
"MEGAN PALMER",27
"MELANIE ARMSTRONG",25
"MELINDA FERNANDEZ",17
"MELISSA KING",34
"MELVIN ELLINGTON",26
"MICHAEL SILVERMAN",29
"MICHEAL FORMAN",26
"MICHELE GRANT",30
"MICHELLE CLARK",35
"MIGUEL BETANCOURT",29
"MIKE WAY",35
"MILDRED BAILEY",25
"MILTON HOWLAND",25
"MINNIE ROMERO",34
"MIRIAM MCKINNEY",26
"MISTY LAMBERT",27
"MITCHELL WESTMORELAND",32
"MONICA HICKS",30
"MORRIS MCCARTER",34
"MYRTLE FLEMING",24
"NANCY THOMAS",28
"NAOMI JENNINGS",35
"NATALIE MEYER",23
"NATHAN RUNYON",32
"NATHANIEL ADAM",28
"NEIL RENNER",32
"NELLIE GARRETT",21
"NELSON CHRISTENSON",20
"NICHOLAS BARFIELD",32
"NICOLE PETERSON",22
"NINA SOTO",29
"NORA HERRERA",28
"NORMA GONZALES",21
"NORMAN CURRIER",26
"OLGA JIMENEZ",32
"OSCAR AQUINO",20
"PAMELA BAKER",23
"PATRICIA JOHNSON",27
"PATRICK NEWSOM",31
"PATSY DAVIDSON",28
"PAUL TROUT",23
"PAULA BRYANT",18
"PAULINE HENRY",27
"PEARL GARZA",22
"PEDRO CHESTNUT",24
"PEGGY MYERS",24
"PENNY NEAL",18
"PERRY SWAFFORD",24
"PETER MENARD",23
"PHILIP CAUSEY",31
"PHILLIP HOLM",26
"PHYLLIS FOSTER",23
"PRISCILLA LOWE",35
"RACHEL BARNES",22
"RAFAEL ABNEY",21
"RALPH MADRIGAL",34
"RAMON CHOATE",31
"RAMONA HALE",30
"RANDALL NEUMANN",23
"RANDY GAITHER",28
"RAUL FORTIER",20
"RAY HOULE",22
"RAYMOND MCWHORTER",30
"REBECCA SCOTT",24
"REGINA BERRY",34
"REGINALD KINDER",28
"RENE MCALISTER",26
"RENEE LANE",26
"RHONDA KENNEDY",39
"RICARDO MEADOR",21
"RICHARD MCCRARY",25
"RICK MATTOX",27
"RICKY SHELBY",25
"RITA GRAHAM",24
"ROBERT BAUGHMAN",21
"ROBERTA HARPER",23
"ROBERTO VU",30
"ROBIN HAYES",24
"RODNEY MOELLER",23
"ROGER QUINTANILLA",36
"ROLAND SOUTH",23
"RON DELUCA",23
"RONALD WEINER",30
"RONNIE RICKETTS",25
"ROSA REYNOLDS",30
"ROSE HOWARD",22
"ROSEMARY SCHMIDT",35
"ROSS GREY",27
"ROY WHITING",29
"RUBEN GEARY",21
"RUBY WASHINGTON",28
"RUSSELL BRINSON",36
"RUTH MARTINEZ",24
"RYAN SALISBURY",30
"SALLY PIERCE",32
"SALVADOR TEEL",30
"SAM MCDUFFIE",24
"SAMANTHA DUNCAN",23
"SAMUEL MARLOW",21
"SANDRA MARTIN",29
"SARA PERRY",33
"SARAH LEWIS",30
"SCOTT SHELLEY",25
"SEAN DOUGLASS",23
"SERGIO STANFIELD",26
"SETH HANNON",25
"SHANE MILLARD",22
"SHANNON FREEMAN",24
"SHARON ROBINSON",30
"SHAWN HEATON",33
"SHEILA WELLS",18
"SHELLY WATTS",26
"SHERRI RHODES",33
"SHERRY MARSHALL",34
"SHIRLEY ALLEN",31
"SIDNEY BURLESON",25
"SONIA GREGORY",28
"STACEY MONTGOMERY",34
"STACY CUNNINGHAM",23
"STANLEY SCROGGINS",30
"STELLA MORENO",22
"STEPHANIE MITCHELL",25
"STEPHEN QUALLS",28
"STEVE MACKENZIE",34
"STEVEN CURLEY",29
"SUE PETERS",40
"SUSAN WILSON",24
"SUZANNE NICHOLS",24
"SYLVIA ORTIZ",32
"TAMARA NGUYEN",25
"TAMMY SANDERS",41
"TANYA GILBERT",33
"TARA RYAN",20
"TED BREAUX",29
"TERESA ROGERS",29
"TERRANCE ROUSH",29
"TERRENCE GUNDERSON",30
"TERRI VASQUEZ",27
"TERRY CARLSON",29
"TERRY GRISSOM",20
"THELMA MURRAY",32
"THEODORE CULP",31
"THERESA WATSON",30
"THOMAS GRIGSBY",25
"TIFFANY JORDAN",14
"TIM CARY",39
"TIMOTHY BUNN",22
"TINA SIMMONS",28
"TODD TAN",29
"TOM MILNER",32
"TOMMY COLLAZO",38
"TONI HOLT",23
"TONY CARRANZA",22
"TONYA CHAPMAN",32
"TRACEY BARRETT",27
"TRACY COLE",30
"TRACY HERRMANN",28
"TRAVIS ESTEP",25
"TROY QUIGLEY",30
"TYLER WREN",21
"TYRONE ASHER",24
"VALERIE BLACK",26
"VANESSA SIMS",19
"VELMA LUCAS",27
"VERA MCCOY",18
"VERNON CHAPA",18
"VERONICA STONE",32
"VICKI FIELDS",25
"VICKIE BREWER",31
"VICTOR BARKLEY",24
"VICTORIA GIBSON",27
"VINCENT RALSTON",25
"VIOLA HANSON",32
"VIOLET RODRIQUEZ",30
"VIRGIL WOFFORD",27
"VIRGINIA GREEN",32
"VIVIAN RUIZ",23
"WADE DELVALLE",22
"WALLACE SLONE",25
"WALTER PERRYMAN",30
"WANDA PATTERSON",30
"WARREN SHERROD",33
"WAYNE TRUONG",19
"WENDY HARRISON",30
"WESLEY BULL",40
"WILLARD LUMPKIN",22
"WILLIAM SATTERFIELD",26
"WILLIE HOWELL",26
"WILLIE MARKHAM",25
"WILMA RICHARDS",20
"YOLANDA WEAVER",27
"YVONNE WATKINS",21
"ZACHARY HITE",31
